name,sorted_name,similar_names
James Newheiser,james newheiser,['']
A.A. Kilbas,a.a. kilbas,['']
Phillip E Johnson,e johnson phillip,['Phillip E. Johnson']
Thomas Parrish,parrish thomas,['Thomas Harris']
Chloe Neill,chloe neill,['']
Aurelie Sheehan,aurelie sheehan,['']
James Gladstone,gladstone james,['Samuel Glasstone']
Frank Waters,frank waters,['']
Robert H. Lieberman,h. lieberman robert,['']
Robert A. Caro,a. caro robert,"['Robert A. Monroe, Robert A. Harper, Robert A. Dahl, Robert A. Day']"
Gayle Greeno,gayle greeno,['']
Frances Parkinson Keyes,frances keyes parkinson,['']
Mary McCarthy,mary mccarthy,"['Maureen McCarthy, Matt McCarthy']"
Sanford Bennett,bennett sanford,['']
Susan Faludi,faludi susan,['']
Margery Williams Bianco,bianco margery williams,['']
Kenneth Pollack,kenneth pollack,['']
Edward Latimer Beach,beach edward latimer,['']
Francis J. Moloney,francis j. moloney,['']
Deborah Jowitt,deborah jowitt,['']
Ben Witherington,ben witherington,"['Ben Witherington, III, Ben III Witherington']"
Cynthia Ploski,cynthia ploski,['']
Randall Sullivan,randall sullivan,['Dana Sullivan']
Dale T. Irvin,dale irvin t.,['']
Louis R. Sadler,louis r. sadler,['']
Jay Barbree,barbree jay,['']
Maggie Gallagher,gallagher maggie,['Matt Gallagher']
Sandra Evertson,evertson sandra,['']
Samia Louis,louis samia,['Louis Sachar']
J. G. Seidman,g. j. seidman,['']
Eleanor Jacka,eleanor jacka,['']
Sungju Lee,lee sungju,['']
John Callahan,callahan john,"['Tom Callahan, John Galligan']"
Adrian Miller,adrian miller,"['Adrian Milton, Adrian Lister']"
Joseph Bryan,bryan joseph,"['Joseph Boyle, Evan Joseph, Joseph Frank, Joseph Beam']"
Harold G. Koenig,g. harold koenig,['']
Deborah Raney,deborah raney,"['Deborah Tannen, Deborah Hale']"
Meg Swansen,meg swansen,['']
Marc Smith,marc smith,"['Marc Spitz, Carl Smith, Earl Smith, Mari Smith']"
Lucille Eichengreen,eichengreen lucille,['']
Juval Aviv,aviv juval,['']
Conrad Richter,conrad richter,['']
Dean M. Roosa,dean m. roosa,['']
Douglas J. Preston,douglas j. preston,['Douglas Preston']
Dorothy Wordsworth,dorothy wordsworth,['']
George Barker,barker george,"['George Borden, George Barna, George Bartko, George Baker']"
Emma Darwin,darwin emma,['']
Ishmael Reed,ishmael reed,['']
Peter Vronsky,peter vronsky,['']
Dwight D. Eisenhower,d. dwight eisenhower,['']
Hubert L. Dreyfus,dreyfus hubert l.,['']
M. Carol Brennan,brennan carol m.,['']
Harry P. Hatry,harry hatry p.,['']
John G. Hemry,g. hemry john,['']
Dorothy Parker,dorothy parker,['']
Maud Gonne MacBride,gonne macbride maud,['']
Natalie Madorsky Elman,elman madorsky natalie,['']
Wayne A. Grudem,a. grudem wayne,['Wayne Grudem']
Steve Portigal,portigal steve,['']
Jonathan P. Caulkins,caulkins jonathan p.,['']
John Barylick,barylick john,['John Baylis']
American Medical Association Staff,american association medical staff,['American Medical Association']
Douglas Brinkley,brinkley douglas,['']
Tim Muldoon,muldoon tim,['']
Paul D. Miller,d. miller paul,['Paul D. Meier']
Senior Lecturer in Art History Craig Clunas,art clunas craig history in lecturer senior,['']
Sadie Jones,jones sadie,"['Sandie Jones, Sandra Jones']"
Mary Neasham,mary neasham,['']
J. Peder Zane,j. peder zane,['']
Mary Gaitskill,gaitskill mary,['']
Peter L. Larson,l. larson peter,['Peter A. Clayton']
Laurell K. Hamilton,hamilton k. laurell,['']
Daniel Goldfarb,daniel goldfarb,['']
New International Version,international new version,['']
Dean Hughes,dean hughes,['']
Elia Parsons,elia parsons,['']
J. Maarten Troost,j. maarten troost,['']
Martín Prechtel,martín prechtel,['']
Beatrice A. Ojakangas,a. beatrice ojakangas,['Beatrice Ojakangas']
Thomas M Jessell,jessell m thomas,['Thomas M. Jessell']
Shlomo Sternberg,shlomo sternberg,['']
Ilene Segalove,ilene segalove,['']
Tim Gallagher,gallagher tim,['']
Kevin Dedmon,dedmon kevin,['']
Richard Marius,marius richard,"['Richard Mayhue, Richard Marcinko, Richard Marrs, Richard Barrios, Richard Farina']"
Ormond Edwards,edwards ormond,['']
Bill G. Effros,bill effros g.,['']
Ben Rehder,ben rehder,['']
Brenda James,brenda james,"['James Baen, Brenda Davis, James Brady']"
Michael Pearce,michael pearce,"['Michael Pearson, Michael Perry']"
Michael Patrick Hearn,hearn michael patrick,['']
Robinson Risner,risner robinson,['']
Brian Attebery,attebery brian,['']
Michael T. Murray,michael murray t.,['']
Lew Hunter,hunter lew,['Seb Hunter']
Turk Pipkin,pipkin turk,['']
Reggie Yemma,reggie yemma,['']
Kimie Tada,kimie tada,['']
Cheryl Mendelson,cheryl mendelson,['']
Rachel Shteir,rachel shteir,['']
Cynthia Ulrich Tobias,cynthia tobias ulrich,['']
Judith Baughman,baughman judith,['Judith Couchman']
Wendy Lefkon,lefkon wendy,['']
Margot Badran,badran margot,['']
Alastair Campbell,alastair campbell,['']
Marc Treib,marc treib,['']
David James Duncan,david duncan james,['James David Horan']
Patricia Thomas,patricia thomas,['']
Amy Keating Rogers,amy keating rogers,['']
Ellen Hopkins,ellen hopkins,['']
Melissa Elsen,elsen melissa,['']
Kyra Davis,davis kyra,['']
A.J. Gerrard,a.j. gerrard,['']
Sarah Haavind,haavind sarah,['']
Francis X. Martin,francis martin x.,['']
Mary Bradford,bradford mary,"['Mary Braddon, Laura Bradford']"
Diane Dillon,diane dillon,"['Diane Wilson, Diane Tullson']"
Douglas Downing,douglas downing,['']
Melvyn Bragg,bragg melvyn,['']
Robert Nathan,nathan robert,"['Robert Rath, Rosenberg Nathan, Robert Atwan, Robert Newman, Nathan Rosenberg, Robert Kaplan']"
Tremper Longman III,iii longman tremper,"['Tremper III Longman, Tremper Longman, III, Tremper Longman']"
Robert Harms,harms robert,"['Robert Haas, Robert Burns, Robert Hand, Robert Harbin, Robert Darvas, Robert Hass, Robert Maass, Robert Arp, Robert Harley, Robert Bates, Marie Robert, Robert Harris']"
Stas Bekman,bekman stas,['']
Keith Seume,keith seume,['Keith Laumer']
Emma Bamford,bamford emma,['']
Mervyn Kaufman,kaufman mervyn,['']
Rudolph A. Oswald,a. oswald rudolph,['']
Craig Dirgo,craig dirgo,['']
Antoinette Moses,antoinette moses,['']
A. Pat M. Smith,a. m. pat smith,['']
Vincent Bridges,bridges vincent,['']
Susan Krinard,krinard susan,['']
Cindy Villarreal,cindy villarreal,['']
Wendy Marech,marech wendy,['Wendy Martin']
Marshall Fisher,fisher marshall,['']
Ulrike Becks-Malorny,becks-malorny ulrike,['']
Brooks M. Barnes,barnes brooks m.,['Brooks Miles Barnes']
Stuart J. Levy,j. levy stuart,['']
Rebecca Wagner Sytsema,rebecca sytsema wagner,['']
Bernard D. Headley,bernard d. headley,['']
Amy Kelly,amy kelly,['']
Alvin Morrow,alvin morrow,['']
Steven L. Hilty,hilty l. steven,['']
"Director Center for Studies of Social Change and Professor of History and Sociology Charles Tilly, PhD","and and center change charles director for history of of phd professor social sociology studies tilly,",['']
Derek Humphry,derek humphry,['']
George Howe Colt,colt george howe,['George F. Howe']
Emily Dickinson,dickinson emily,['']
Edgar E Robinson Professor in United States History Estelle B Freedman,b e edgar estelle freedman history in professor robinson states united,['']
John Gibb,gibb john,['John Gribbin']
Alison Goodman,alison goodman,['Alvin Goodman']
Jan Sharp,jan sharp,"['Jon Sharpe, Ken Sharp']"
Damon Krukowski,damon krukowski,['']
Mahzarin R. Banaji,banaji mahzarin r.,['']
Clare Maxwell-Hudson,clare maxwell-hudson,['']
Betsy Carter,betsy carter,['Betsy Farber']
Tom Brokaw,brokaw tom,['']
Miklos Vamos,miklos vamos,['']
Harry Lorayne,harry lorayne,['']
John Roberts Tunis,john roberts tunis,['']
Cameron Dean,cameron dean,"['Cameron West, Cameron Diaz, Debra Cameron']"
Carol L. Stimmel,carol l. stimmel,['']
Toynbee Arnold,arnold toynbee,['Arnold Toynbee']
Judith Finlayson,finlayson judith,['']
James Carol,carol james,"['James Canon, James Carey, James Carroll']"
Diodorus (Siculus.),(siculus.) diodorus,['']
Williamson Murray,murray williamson,"['Henry Williamson, Mary Williamson, Ray A. Williamson']"
Lucian Maynard,lucian maynard,['']
Roderick MacLeish,macleish roderick,['']
Irwin Shaw,irwin shaw,['']
David S. Malkus,david malkus s.,['']
Alina Boyden,alina boyden,['']
"Thomas W. Phelan, PhD","phd phelan, thomas w.",['']
Conner Gorry,conner gorry,['']
Paul Kline,kline paul,"['Paul Klee, Paul Elie']"
Peter J. Taylor,j. peter taylor,['Peter Taylor']
Jean E. Burns,burns e. jean,['']
Dave Marsh,dave marsh,['']
Jacquelyn Reinach,jacquelyn reinach,['']
Lars G. Warme,g. lars warme,['']
Elizabeth Hawes,elizabeth hawes,"['Elizabeth Hilts, Elizabeth Lowell, Elizabeth Lane, Elizabeth Mays, Elizabeth Palmer, Elizabeth Peters, Elizabeth Hickey, Elizabeth Hazel, Elizabeth Hand, Elisabeth Waters, Elizabeth Honey, Elizabeth Farber, Elizabeth Yates, Elizabeth Warren, Elizabeth Rawson, Elizabeth Haydon']"
Cary F. Baynes,baynes cary f.,['']
Stefan Kuhl,kuhl stefan,['']
Melvin G. Calkin,calkin g. melvin,['']
Elizabeth,elizabeth,['Elizabeth I']
Will Wright,will wright,['Lili Wright']
D. J. Bacon,bacon d. j.,['']
Bernard F. Reilly,bernard f. reilly,['']
Qing Liu,liu qing,['Qing Li']
Arthur Charles Clarke,arthur charles clarke,['']
Harry Kemelman,harry kemelman,['']
P. F. Chisholm,chisholm f. p.,['P.F. Chisholm']
Rudyard Kipling,kipling rudyard,['']
Loren Cunningham,cunningham loren,"['Donna Cunningham, Frank Cunningham, Marion Cunningham']"
Richard Bayan,bayan richard,"['Richard Brown, Richard Boyer, Richard Layard, Richard Baker, Richard Bangs, Richard Mason, Richard Bach, Richard Laymon']"
Vali Nasser,nasser vali,['']
Margery Williams,margery williams,"['Roger Williams, Larry Williams, William Marvel, Miller Williams, Karen Williams, Barry Williams, Marcia Williams, Mary Williams']"
Priya Kumar,kumar priya,['']
 Doyle Brunson,brunson doyle,['Doyle Brunson']
Holman Reference Editorial Staff,editorial holman reference staff,['']
Thomas McGuane,mcguane thomas,['']
Tom Tierney,tierney tom,['']
David Meerman Scott,david meerman scott,['']
Nick Harrison,harrison nick,"['Kit Harrison, Jim Harrison, Lisi Harrison, Kim Harrison']"
Laird Koenig,koenig laird,['']
Taras Grescoe,grescoe taras,['']
Charles Edward Chapel,chapel charles edward,['']
Ted J. Kaptchuk,j. kaptchuk ted,['']
Paul Merriman,merriman paul,"['Paul Bergman, Paul Berman, Paul Herman']"
Rhonda Wilcox,rhonda wilcox,['']
W.H.C. Bassetti,bassetti w.h.c.,['']
Oscar Williams,oscar williams,"['Dar Williams, Richard Williams, Sean Williams']"
Richard Chizmar,chizmar richard,['']
Chris Ayres,ayres chris,['']
Carlos Ruiz Zafon,carlos ruiz zafon,['']
Brent Rollins,brent rollins,['']
Thomas H. Pauly,h. pauly thomas,['Thomas H. Naylor']
Thomas Mullen,mullen thomas,"['Helen Thomas, Thomas Keller, Thomas Mallon, Thomas Murrey']"
Karl Hans Moltrecht,hans karl moltrecht,['']
Harold Schechter,harold schechter,['']
Marcus Lovejoy,lovejoy marcus,['']
Doris Lessing,doris lessing,['']
Liana Finck,finck liana,['']
James M. Kouzes,james kouzes m.,['']
Barbara Weston-Ramirez,barbara weston-ramirez,['']
Nick Danziger,danziger nick,['']
Benjamin A. Pierce,a. benjamin pierce,['']
Joan D. Vinge,d. joan vinge,['']
Edward Hull,edward hull,"['Edward Howell, Hugh Edwards']"
Swan,swan,['']
Rae Pica,pica rae,['']
Ty Cobb,cobb ty,['']
Christopher Bryson,bryson christopher,"['Christopher M. Byron, Christopher Canyon, Christopher Bram, Christopher Batio, Christopher Brown, Christopher Benson']"
Seraphina Nova Glass,glass nova seraphina,['']
Eddie S. Meadows,eddie meadows s.,['']
Walter Greiner,greiner walter,"['Walter Prevenier, Walter Serner, Walter Gratzer']"
Gene Openshaw,gene openshaw,['']
Maryann McFadden,maryann mcfadden,['']
Jordan Summers,jordan summers,['']
Dan Gookin,dan gookin,['Dawn Goodwin']
Joseph A. Krasevec,a. joseph krasevec,['']
Philip E. Bourne,bourne e. philip,['']
Harold Robbins,harold robbins,['Arnold Robbins']
Suzanne Wong Scollon,scollon suzanne wong,['']
Phyllis A. Balch CNC,a. balch cnc phyllis,['']
Paul LaFarge,lafarge paul,['']
William R. Patterson,patterson r. william,['William S. Parsons']
Patricia J. Williams,j. patricia williams,"['Patrick Williams, Valencia R. Williams']"
Petra Couvée,couvée petra,['']
C. T. Adams,adams c. t.,['']
"Barbara Ardinger, Ph.D.","ardinger, barbara ph.d.",['']
"Admiral James Stavridis, USN","admiral james stavridis, usn",['']
Thomas Goodrich,goodrich thomas,['']
Craig Clunas,clunas craig,['']
Professor Juan J Linz,j juan linz professor,['']
Micki Krause,krause micki,['']
Richard Cavell,cavell richard,"['Richard Castle, Richard Havers, Richard Hall, Richard Powell']"
Michael Freeman,freeman michael,"['Michael Fleeman, Michael Freedland, Michael Coleman, Michael Foreman, Michael Green']"
Richard Bowring,bowring richard,['Richard John Bowring']
Fillbach Brothers,brothers fillbach,['']
James C. Abbott,abbott c. james,['']
Elizabeth M. Leach Rixford,elizabeth leach m. rixford,['']
Ann Douglas,ann douglas,['']
Robert Forczyk,forczyk robert,['']
John Nolland,john nolland,"['John Pollack, John Toland, John Villani, John Norman']"
Thea Sabin,sabin thea,['']
LeAnn Rimes,leann rimes,['']
Bernard DeVoto,bernard devoto,['Bernard De Voto']
Edward C. Baig,baig c. edward,['']
Benjamin Ginsberg,benjamin ginsberg,['']
Anita L. Vangelisti,anita l. vangelisti,['']
Howard Morphy,howard morphy,['']
James Noble,james noble,['']
Elizabeth Ann Scarborough,ann elizabeth scarborough,['Elizabeth A. Scarborough']
Elizabeth L. Eisenstein,eisenstein elizabeth l.,['']
Ari Seth Cohen,ari cohen seth,['']
Marianne Wesson,marianne wesson,['Marianne Weldon']
Talal Asad,asad talal,['']
John W. Fitzpatrick,fitzpatrick john w.,['']
Heidi Betts,betts heidi,['']
American Kennel Club,american club kennel,['']
James M. Tour,james m. tour,['James M. Volo']
Rachel Cusk,cusk rachel,['Rachel Hauck']
Linda Schatz,linda schatz,['']
Lao Tzu,lao tzu,['']
Johan Norberg,johan norberg,"['John Ortberg, John Norberg']"
Diane Kinman,diane kinman,['Diane Diekman']
Jeanne Willis,jeanne willis,"['Jan Willis, Jeanne Wilson']"
Peter Stark,peter stark,"['Peter Straub, Peter Stamm']"
Lon Schleining,lon schleining,['']
Donna Meeks Kelly,donna kelly meeks,['']
Stanley Stewart,stanley stewart,['']
Lester Sumrall,lester sumrall,['']
Philo (of Alexandria.),(of alexandria.) philo,['']
Randal Schwartz,randal schwartz,['Randal L. Schwartz']
Michael Collins,collins michael,"['Michael Colton, Michael Golding']"
David Lindsay,david lindsay,"['David Lindsey, Lindsey Davis, Linda Davis, David Lipsky']"
Charles Durden,charles durden,"['Charles Ogden, Charles Spurgeon, Charles Durrett, Charles Darwin']"
Seiko Ogawa,ogawa seiko,['']
E. Benjamin Wylie,benjamin e. wylie,['']
Karen Mains,karen mains,['']
Lee Smith,lee smith,"['Lane Smith, Gene Smith, Red Smith, Ed Smith']"
Ralph C. Wood,c. ralph wood,['']
Joseph Bastianich,bastianich joseph,['']
David Epstein,david epstein,"['David Ehrenstein, David Western, David Epston']"
Egor Paul Popov,egor paul popov,['']
Stephanie Landsem,landsem stephanie,['Stephanie Lyness']
Regine Meunier,meunier regine,['']
David Grann,david grann,"['David Wann, David Grambs, David Greene, Grania Davis, David Rankin, David Graham, David Franz']"
John R. Fallows,fallows john r.,['']
National Audubon Society,audubon national society,['']
Sam Harris,harris sam,['']
Brenda Miller,brenda miller,"['Brendan Mullen, Brenda Fowler, Millen Brand, Ben Miller']"
Roberto Kiesling,kiesling roberto,['']
Leonardo Acosta,acosta leonardo,['']
Christena Cleveland,christena cleveland,['']
Alan Garner,alan garner,"['Alan Warner, Alan Barnard, Bryan Garner, Alan Gurney']"
Alice C. Murr,alice c. murr,['']
Donald D. Clayton,clayton d. donald,['']
Carolyn Strom Collins,carolyn collins strom,['']
Robert M. Levine,levine m. robert,['']
Martha Stewart Living Magazine,living magazine martha stewart,['']
Roy West,roy west,['Kay West']
David K. Wyatt,david k. wyatt,['']
Christopher T. George,christopher george t.,['Christopher Sergel']
Emily Little,emily little,['']
Emily A. Craig,a. craig emily,['Erin A. Craig']
D. S. Malik,d. malik s.,['']
Margaret Visser,margaret visser,"['Margaret Webster, Margaret Miller']"
Bryan Alvarez,alvarez bryan,['']
Vivian French,french vivian,['']
Nitaya Masavisut,masavisut nitaya,['']
Rosita Arvigo,arvigo rosita,['']
Designs Direct Publishing,designs direct publishing,['']
Leslie Rees,leslie rees,['Leslie Yerkes']
René Girard,girard rené,['']
Richard Sapir,richard sapir,"['Richard Sax, Richard Roper, Richard Stim']"
Carol Ann Duffy,ann carol duffy,['']
Shirley Brice Heath,brice heath shirley,['']
Cary J. Griffith,cary griffith j.,['']
David Colbert,colbert david,"['David Comfort, David Coulter']"
Andrew A. Hedges,a. andrew hedges,"['Andrew Hodges, A. Andrew Das']"
Martin Connors,connors martin,['']
William MacEwen,macewen william,['']
I. K. Taimni,i. k. taimni,['']
Mick J. Sanders,j. mick sanders,['']
William E. Odom,e. odom william,['']
Steve Peters,peters steve,"['Steve Keels, Peter Stone, Steve Perry']"
Brian Michael Bendis,bendis brian michael,['']
James P. Womack,james p. womack,['']
Владимир Владимирович Набоков,владимир владимирович набоков,['']
Joy L. Starks,joy l. starks,['']
Barbara Amiel,amiel barbara,"['Barbara Arneil, Barbara Allen']"
Isabelle Tombs,isabelle tombs,['']
Jeff Foxworthy,foxworthy jeff,['']
A. E. Siegman,a. e. siegman,['']
Tina McElroy Ansa,ansa mcelroy tina,['']
Valerie S. Malmont,malmont s. valerie,['']
Tania Aebi,aebi tania,['']
Laura Ackerman Smoller,ackerman laura smoller,['']
Bernard H. Boar,bernard boar h.,['']
Rita Soltan,rita soltan,['']
John Shelton Lawrence,john lawrence shelton,['']
David Sklansky,david sklansky,['']
Camila Sosa Villada,camila sosa villada,['']
Ann Hagedorn,ann hagedorn,['']
Bryant Urstadt,bryant urstadt,['']
J. Prost,j. prost,['']
David A. Patterson,a. david patterson,['']
Joshua Logan,joshua logan,['Joshua Luna']
Teresa Mummert,mummert teresa,['']
Gresh Brebach,brebach gresh,['']
William S. Clark,clark s. william,"['Clark M. Williamson, William St. Clair, William St Clair']"
Robert Marshall Utley,marshall robert utley,['']
Madhur Jaffrey,jaffrey madhur,['']
"Management Association, Information Resources","association, information management resources",['']
Douglas Kennedy,douglas kennedy,['']
Julian Sanchez,julian sanchez,['']
Gene Porter,gene porter,['Jane Porter']
Bartolome De Las Casas,bartolome casas de las,['Bartolome Las Casas']
Jay Papasan,jay papasan,['']
Joseph Schwartz,joseph schwartz,['']
Jarden Home Brands,brands home jarden,['']
Eric R. Kandel,eric kandel r.,['Eric Kandel']
Paul Chafe,chafe paul,['']
Daniel Stashower,daniel stashower,['']
M. Uyehara,m. uyehara,['']
Patrick D. Smith,d. patrick smith,['Patrick Smith']
Tannen,tannen,['']
Robert M. Utley,m. robert utley,['']
E. R. Davies,davies e. r.,['T.D. Davies']
Laurens Van Der Post,der laurens post van,['Laurens Van der Post']
Agate Nesaule,agate nesaule,['']
Jack Nicklaus,jack nicklaus,['']
Pope Francis,francis pope,['Frances Pye']
Rob Norton,norton rob,['Rob Boston']
Guy Hart-Davis,guy hart-davis,['']
Denis Cauvier,cauvier denis,['']
Frank W. Cawood and Associates,and associates cawood frank w.,['']
Susan Choi,choi susan,['']
Bill George,bill george,['George Bibel']
"Richard C. Lamb, Jr.","c. jr. lamb, richard",['']
Anthony Ryan,anthony ryan,"['Anthony Ryder, Anthony Read, Anthony Rapp, Anthony Green']"
Mark Guthrie,guthrie mark,['']
Gary Hedstrom,gary hedstrom,['']
Steve Hendricks,hendricks steve,['']
Stephen J. Collins,collins j. stephen,['']
Aimée Carter,aimée carter,['']
Clarissa Pinkola Estés,clarissa estés pinkola,['Clarissa Pin Estes']
Ron Naveen,naveen ron,['']
Lore Segal,lore segal,['']
Timothy Findley,findley timothy,['']
Lawrence Lee,lawrence lee,"['Lawrence Pike, Laurence Yep, Laurence Rees, Lawrence Miles, Lawrence Levi, T.E. Lawrence, Mr. Lawrence']"
Eloisa James,eloisa james,"['James Blish, James Elkins, Erica James']"
Historical Society Georgia,georgia historical society,['Arizona Historical Society']
Rudolph Fisher,fisher rudolph,['']
Noel Kingsbury,kingsbury noel,['']
Jojo Moyes,jojo moyes,['']
Angie Cruz,angie cruz,['']
Elizabeth Barrett Browning,barrett browning elizabeth,['']
Raymond Abrashkin,abrashkin raymond,['']
Melanie Marquis,marquis melanie,['']
M.J. Kirton,kirton m.j.,['']
John J. Fialka,fialka j. john,['']
Sarah L. Woodard,l. sarah woodard,['']
Pierre Bernac,bernac pierre,['Pierre Berton']
Gale Galligan,gale galligan,['']
Henry Rogers,henry rogers,"['Cheryl Rogers, Henry Rowe, Robert Henri']"
Steven E.. Woodworth,e.. steven woodworth,['Steven E. Woodworth']
D. Satas,d. satas,['']
Steven W Michaelson,michaelson steven w,['']
N. U. Ahmed,ahmed n. u.,['']
David Allyn,allyn david,"['David Dalton, David Almond']"
David Arthur,arthur david,['']
Jim Scott,jim scott,"['Liz Scott, Kim Scott']"
Pema Chödrön,chödrön pema,['']
Lawrence J. Cunningham,cunningham j. lawrence,['']
Matt Taibbi,matt taibbi,['']
Stewart Gardiner,gardiner stewart,['']
R. Angus Buchanan,angus buchanan r.,['']
Roderick Thorp,roderick thorp,['']
John B. Thomson,b. john thomson,['']
Paul Perry,paul perry,['Paul Sperry']
E. Roland Menzel,e. menzel roland,['']
E.A. Schreiber,e.a. schreiber,['']
Larry Baker,baker larry,"['Larry Berger, Harry Baier, Jerry Baker']"
Diane Morgan,diane morgan,"['Diana Norman, Brian Morgan, Elaine Morgan']"
Robert Bausch,bausch robert,"['Robert Bloch, Robert Burch, Robert Munsch']"
Hilda Schiff,hilda schiff,['']
Ella Leffland,ella leffland,['']
Neville Dean,dean neville,['']
Michael Chase Walker,chase michael walker,['']
Ibn Warraq,ibn warraq,['']
Helen C. Haidle,c. haidle helen,['Helen Haidle']
David Ferraiolo,david ferraiolo,['']
Makoto Yukimura,makoto yukimura,['']
Drew,drew,['']
Trish MacGregor,macgregor trish,['']
Don Fehrenbacher,don fehrenbacher,['']
Moshe M. Kohn,kohn m. moshe,['']
Bill Birney,bill birney,['']
Roger B. Beck,b. beck roger,['']
Erin Jordan Knight,erin jordan knight,['']
Nancy Jean Vyhmeister,jean nancy vyhmeister,['']
David Mamet,david mamet,"['David Manuel, David Magee']"
Leo Strauss,leo strauss,"['Neil Strauss, Gwen Strauss']"
Marguerite Duras,duras marguerite,['']
Roshani Chokshi,chokshi roshani,['']
C. J. Sansom,c. j. sansom,['']
David Fraser,david fraser,"['David Jasper, David Treuer, David Traxel, David Graeber, David Loader, David Drake, David Frei, David Rabe, David Fisher, David Franz']"
David Sussman,david sussman,"['David Sherman, David Grossman, David Pressman, Dave Sussman']"
Ronald Youngblood,ronald youngblood,['']
Tamara de Lempicka,de lempicka tamara,['']
Bjørn Lomborg,bjørn lomborg,['']
Lindsey Gruson,gruson lindsey,['Lindsey Berkson']
Daphne Rose Kingma,daphne kingma rose,['']
Zaha Hadid,hadid zaha,['']
Michael Battle,battle michael,"['Michael Bailey, Michael Matthews, Michael Barbee, Michael Ballé']"
Ernö Pretsch,ernö pretsch,['']
Sophie McKenzie,mckenzie sophie,['']
Francis August Schaeffer,august francis schaeffer,['Francis A. Schaeffer']
Melvin L. Rogers,l. melvin rogers,['']
Kyle Lewis,kyle lewis,['Lewis Hyde']
C. M. Waggoner,c. m. waggoner,['']
Anne W. Carroll,anne carroll w.,['']
Virginia Woolf,virginia woolf,['Virgina Woolf']
Tom Verde,tom verde,['']
Edgar D. Whitcomb,d. edgar whitcomb,['']
Corinne Demas,corinne demas,['']
Leslie Patricelli,leslie patricelli,['']
Ibrahim Abdel Meguid,abdel ibrahim meguid,['']
Mary Kay Carson,carson kay mary,['']
Virgilio A. F. Almeida,a. almeida f. virgilio,['']
Gunter Grass,grass gunter,['Günter Grass']
Jon Franklin,franklin jon,"['Tom Franklin, Jane Franklin']"
Orania Papazoglou,orania papazoglou,['']
Jill Dunkerton,dunkerton jill,['']
Joseph E. Stevens,e. joseph stevens,['']
Christopher Manson,christopher manson,"['Christopher Marshall, Christopher Hampton, Christopher Lampton, Matt Christopher, Christopher Dawson, Christopher Marlowe, Christopher Hansard, Christopher Santoro, Christopher Lasch']"
Ernest Jones,ernest jones,['Ernest Joyce']
Sandra Marton,marton sandra,"['Sandra Markle, Sandra Felton']"
Melanie Ann Apel,ann apel melanie,['']
Neil Rennie,neil rennie,['Rennie Neil']
Robyn Harding,harding robyn,['']
Rudy V. B. Rucker,b. rucker rudy v.,['']
Albrecht Enders,albrecht enders,['']
Adela de la Torre,adela de la torre,['']
Danielle Blood,blood danielle,['']
Sheila Watson,sheila watson,['Sheila Walsh']
Matt McCarthy,matt mccarthy,['Mary McCarthy']
Helen Wells,helen wells,['Helen Keller']
Chip Heath,chip heath,['']
Don Tapscott,don tapscott,['']
Laura Joplin,joplin laura,['Laura Godwin']
Colson Whitehead,colson whitehead,['']
Gerald N. Lund,gerald lund n.,['']
Jane E. Brody,brody e. jane,['']
John Diamond,diamond john,"['John Dixon, John Drummond']"
Disney,disney,['']
Constance Penley,constance penley,['Constance Weaver']
Afschineh Latifi,afschineh latifi,['']
George Perrier,george perrier,"['George Perry, George Merritt']"
Annette Gordon-Reed,annette gordon-reed,['']
Jennifer Harper,harper jennifer,"['Jennifer Aaker, Jennifer Hillier']"
Christopher Booker,booker christopher,"['Christopher Burke, Christopher Brown, Christopher P. Baker, Christopher Beck, Christopher Buckley, Christopher Brickell, Christopher Brookmyre']"
Daniel Morris,daniel morris,"['Daniel Gordis, Janet Morris, Lois Daniel']"
Clark DeLeon,clark deleon,['Glenn Clark']
Joseph Nicolosi,joseph nicolosi,['']
April Stevens,april stevens,['Gail Stevens']
Alison Jay,alison jay,"['Jane Alison, Alison Jolly']"
Kōkan Nagayama,kōkan nagayama,['']
Hans Koning,hans koning,['']
Charles M Schulz,charles m schulz,"['Charles M. Schulz, Charles Schulz, Charles Monroe Schulz']"
Jon E. Graham,e. graham jon,['Jon E. Grant']
John Gage,gage john,"['John Hagee, John Case, John Guare, John Hale']"
Brook Chase Soltvedt,brook chase soltvedt,['']
Steven Gray,gray steven,"['Steven Ferry, Gary Stevens']"
Danzy Senna,danzy senna,['']
Robert Michael Ballantyne,ballantyne michael robert,['']
Penny Valentine,penny valentine,['']
Anita Abriel,abriel anita,['']
Barbara Chase-Riboud,barbara chase-riboud,['']
Michael J. Cudahy,cudahy j. michael,"['Michael J. Corey, Michael J. Daley, Michael J. Caduto']"
George Kerr,george kerr,"['George H. Kerr, George Perry']"
Michi Henning,henning michi,['']
K. W. Oxnard,k. oxnard w.,['']
Michael Macrone,macrone michael,['Michael Maren']
Frank Fabozzi,fabozzi frank,['Frank J. Fabozzi']
"Leitch, Vincent B","b leitch, vincent",['']
Julia Donaldson,donaldson julia,['']
"Matthew Immergut, PhD","immergut, matthew phd",['']
Walter Bagehot,bagehot walter,['']
Francis Scott Fitzgerald,fitzgerald francis scott,['']
"Howard, Caroline","caroline howard,",['Caroline Holland']
Graeme Goldsworthy,goldsworthy graeme,['']
Nathalie Dupree,dupree nathalie,['']
