name,sorted_name,similar_names
Crystal McVea,crystal mcvea,['']
Janell Cannon,cannon janell,['']
Deirdre J. Fagan,deirdre fagan j.,['']
Carolyn Crimi,carolyn crimi,['']
Lita Judge,judge lita,['']
Joseph Nassise,joseph nassise,['']
Robert Watson,robert watson,"['Robert Walsh, Robert Walser, Robert Wilson']"
Eric Swanson,eric swanson,"['Kei Swanson, Eric Wilson']"
Troy Korsgaden,korsgaden troy,['']
Samuel Schoenbaum,samuel schoenbaum,['']
Matt Witten,matt witten,['']
Thomas L. Magnanti,l. magnanti thomas,['']
Robin Simons,robin simons,"['Robin Stone, Robert Simons, Robin Schone']"
John Kelly,john kelly,"['Joe Kelly, John Okell, John Keay']"
Don Selby,don selby,['']
Diane Scarazzini,diane scarazzini,['']
Robert E. Webber,e. robert webber,"['Robert L. Weber, Robert A. Weinberg, Robert G. Weiner']"
The Culinary Institute of America (CIA),(cia) america culinary institute of the,['The Culinary Institute of America']
Buzz Aldrin,aldrin buzz,['']
Jacob Blaustein Professor of International Organization and Conflict Resolution and Director of African Studies I William Zartman,african and and blaustein conflict director i international jacob of of organization professor resolution studies william zartman,['']
William Dirks,dirks william,"['William Diehl, William Sirls']"
Arthur Schopenhauer,arthur schopenhauer,"['Arthur, Schopenhauer']"
Catherine Tredway,catherine tredway,['Catherine Fredman']
Andrew Arana,andrew arana,"['Andrew Naprawa, Andrew Lane, Andrew Grant, Andrew Gray, Andrew Garcia, Andrew Lang, Ian Andrew']"
Sarah Aldridge,aldridge sarah,['']
Camilo José Cela,camilo cela josé,['']
George Schlossnagle,george schlossnagle,['']
Kate West,kate west,"['Kay West, Kasie West']"
Kathleen M. Blee,blee kathleen m.,['Kathleen V. Axen']
Robert Graves,graves robert,"['Robert Crais, Robert Coates, Robert Greer, Robert Grant, Robert Bates, Robert Kraus, Robert Fraser']"
Elise Broach,broach elise,['']
Caryl Brahms,brahms caryl,['']
F. Gordon A. Stone,a. f. gordon stone,['']
Michael Benfante,benfante michael,"['Michael Benanav, Michael Benson, Michael Benatar']"
Thrse de Dillmont,de dillmont thrse,['Therese De Dillmont']
Jesse Ventura,jesse ventura,['']
Geoffrey A. Moore,a. geoffrey moore,['']
Giorgio Monti,giorgio monti,['']
Vogel,vogel,['']
Narendra Mehta,mehta narendra,['']
Richard Harris Smith,harris richard smith,['Michael Farris Smith']
Katharine Ashe,ashe katharine,"['Katharine Haake, Katharine Davies']"
graf Leo Tolstoy,graf leo tolstoy,['']
Monica Wellington,monica wellington,['']
Andre Dubus III,andre dubus iii,['']
John B. Herman,b. herman john,['']
E. M. Forster,e. forster m.,['C. S. Forester']
James Crawford,crawford james,['']
Richard Wiener,richard wiener,"['Richard Wilbur, Richard Siegel, Richard Roeper, Richard Zimler, Richard Wagner']"
Jacques Kelly,jacques kelly,['']
Willis D.. Weight,d.. weight willis,['Willis D. Weight']
Weight Watchers International,international watchers weight,['']
Jamie McGuinness,jamie mcguinness,['']
Beth Hensperger,beth hensperger,['']
Theodore Kendris,kendris theodore,['']
Jonathan Latimer,jonathan latimer,['Jonathan Lethem']
Bret Harte,bret harte,['Brett Harvey']
Isabel Sharpe,isabel sharpe,['']
Jon Winokur,jon winokur,['']
Alfred Harris,alfred harris,['Alfred Jarry']
Tom Hopkins,hopkins tom,['']
George Rowlands,george rowlands,['']
John Grant,grant john,"['John Grafton, John Glatt, John Gray, John Crank, John Frank']"
David Bohm,bohm david,"['David Blum, David Bloom, David Bowman, David Boehi']"
Kelly Milner Halls,halls kelly milner,['']
Tracy Alderman,alderman tracy,['']
Gloria Skurzynski,gloria skurzynski,['']
Harold Beaver,beaver harold,['']
Catherine Bailey,bailey catherine,"['Katherine Barber, Catherine Aird, Madeline Bailey, Catherine Belsey, Catherine Barr']"
David Longshore,david longshore,['']
Jessie Burton,burton jessie,['']
Emma Cline,cline emma,['']
Betty Kirke,betty kirke,['']
JoAnn Chartier,chartier joann,['']
Nan Gilbert,gilbert nan,['Jack Gilbert']
Robin Hardy,hardy robin,['Robin Hard']
Glennon Doyle,doyle glennon,['']
Alexander Welsh,alexander welsh,"['Alexander Walker, Alexander Speltz, Alexander Werth']"
Tom Ainslie,ainslie tom,['']
Harold Samuels,harold samuels,['Arnold Samuelson']
Walter Guido Vincenti,guido vincenti walter,['']
Katie Tamony,katie tamony,['']
Samuel Flagg Bemis,bemis flagg samuel,['']
Susan Crawford,crawford susan,['']
Douglas Evans,douglas evans,['']
Nicole MacDonald,macdonald nicole,['Malcolm Macdonald']
James Stuart,james stuart,"['James Stewart, James Stark, Stuart H. James, Stuart Palmer']"
Scott Thybony,scott thybony,['']
John Kellerman,john kellerman,['Jonathan Kellerman']
Neil Turnbull,neil turnbull,['']
Sondra Duncan,duncan sondra,['']
Karen Duet,duet karen,['']
Peter Ames Carlin,ames carlin peter,['']
Linda Waite,linda waite,['']
Bill P.,bill p.,['Bill W.']
Nancy Bernhard,bernhard nancy,['']
Yoshiki Tonogai,tonogai yoshiki,['']
Nazir Afzal,afzal nazir,['Amir Afzal']
Margaret Doody,doody margaret,['Margaret Donohoe']
Neil Gershenfeld,gershenfeld neil,['']
Charles Willeford,charles willeford,"['Charles Fillmore, Charles Miller']"
Richard Heinberg,heinberg richard,"['Richard Leifer, Richard Gerber']"
Christopher Humphries,christopher humphries,"['Christopher J. Priest, Christopher Priest']"
Osho,osho,['']
Alexander Sidorov,alexander sidorov,['']
Gavin Lambert,gavin lambert,['']
Dick Armey,armey dick,['']
Elizabeth Schneider,elizabeth schneider,['']
Maria V. Snyder,maria snyder v.,['']
Tricia Brown,brown tricia,"['Tracy Brown, Tricia Rose, Marcia Brown']"
Colin Martin,colin martin,"['Martin Caidin, Martin Coleman, Martin Cohen, Colin Larkin, Martina Cole, Martin Link, Joann Martin']"
Colin Baker,baker colin,['']
Gerd Lüdemann,gerd lüdemann,['']
R. Allen Hardy,allen hardy r.,['']
Kenneth Clark,clark kenneth,['Kenneth Cloke']
Kate Douglas,douglas kate,"['Douglas Hall, Mark Douglas, Douglas Tave']"
Betty Rowlands,betty rowlands,['']
Roger L.. Nichols,l.. nichols roger,['Roger L. Nichols']
