Title,authors
The Glass House People,['Kathryn Reiss']
The Demigod,['Rick Riordan']
Degrees of Guilt: Kyra's Story,['Dandi Daley Mackall']
Joshua and the Children,['Joseph Girzone']
ORDINARY JUSTICE.,['Amy Bach']
The Workbook of Living Prayer,['Maxie Dunnam']
Staying Alive: Real Poems for Unreal Times,['Neil Astley']
Debbie My Life Debbie Reynolds (large print),"['Debbie Reynolds', 'Dorian Hannaway']"
Marx's Concept Of Man,"['Erich Fromm', 'Karl Marx']"
Inspiring Hymns,['Randy Petersen']
"The Benefits of Marijuana : Physical, Psychological & Spiritual",['Joan Bello']
One Hundred Years of Solitude,['Gabriel García Márquez']
Men At Arms (Turtleback School & Library Binding Edition) (Discworld Novels),['Caitlin Moran']
The Canterbury Tales,['Geoffrey Chaucer']
"HER NAME, TITANIC",['Charles R. Pellegrino']
The Complete Book of Dutch Oven Cooking,['J. Wayne Fears']
Crewel Lye (A Caustic Yarn),['Piers Anthony']
"Good Food, Served Right : Traditional Recipes and Food Customs from New York's North Country",['Mark F. Sohn']
Winged Victory: The Army Air Forces in World War II,['Geoffrey Perret']
Cambridge Advanced Learner's Dictionary CD-ROM,['Cambridge University Press']
Not Without Laughter,"['Langston Hughes', 'General Press']"
Sword & Sorcery Anthology,['Evelyn Waugh']
The Iron Tree,['Cecilia Dart-Thornton']
Extraordinary African Americans (Turtleback School & Library Binding Edition),['Bruce Brooks']
Welding with Children: Stories,['Tim Gautreaux']
WINTER GRASS,['Donald Wyman']
"The Me I Knew I Could Be: How I Lost 157 Pounds, Gained Self-Esteem, and a Healthier Life and How You Can, Too!",['Crystal Phillips']
"How to Be a 3% Man, Winning the Heart of the Woman of Your Dreams",['Corey Wayne']
Babe The Legend Comes To Life,['Robert W. Creamer']
Black Square & Compass: 200 years of Prince Hall Freemasonry,['Aleksandra Shatskikh']
Surrender Dorothy,['Meg Wolitzer']
Recipes for a Small Planet,['Frances Moore Lappé']
Requiem for a Wren,['Nevil Shute']
THE HORIZON BOOK OF THE AGE OF NAPOLEON.,"['J. Christopher Herold', 'Marshall B. Davidson']"
We Are Witnesses: Five Diaries of Teenagers Who Died in the Holocaust,['Jacob Boas']
Fattitudes: Beat Self-Defeat and Win Your War With Weight,"['Jeffrey Wilbert, Ph.D.', 'Norean Wilbert, B.S.N, R.N., C.H.E.']"
False Intimacy: Understanding the Struggle of Sexual Addiction (LifeChange),"['Harry W. Schaumburg', 'The Navigators']"
America Revised,['Ruth Rosen']
Middle Eastern mythology (Pelican books),['Samuel Henry Hooke']
"Torture And Modernity: Self, Society, And State In Modern Iran (Institutional Structures of Feeling)",['Darius M Rejali']
Indian Cooking,"['Suvir Saran', 'Stephanie Lyness']"
4 Zinas: A Story of Mothers and Daughters on the Mormon Frontier,"['Martha Sonntag Bradley', 'Mary Brown Firmage Woodward']"
Suture Self (Bed-And-Breakfast Mysteries),['Mary Daheim']
"BrainJuice: Science, Fresh Squeezed!",['Carol Diggory Shields']
The Dagger and the Cross: A Novel of the Crusades,"['Zsolt Hunyadi', 'J¢zsef Laszlovszky', 'Central European University. Dept. of Medieval Studies']"
Night In Eden (Random House Large Print),['Ken Follett']
An Acquaintance with Darkness,['Ann Rinaldi']
The Gregg Reference Manual,['William Sabin']
Just Java 2,['Peter van der Linden']
Tiger Lil,['Jodi Lynn Anderson']
Journey to Hell,['John Bunyan']
Hound of the Baskervilles (Lrs Large Print Heritage Series),['Arthur Conan Doyle']
As A Man Grows Older (Sun and Moon Classics),['Italo Svevo']
Fox Adult Magazine:August 1995,['Halbert W. Hall']
Bighorse the Warrior,['Tiana Bighorse']
Grammar for Smart People: Your User-Friendly Guide to Speaking and Writing Better English,['Barry Tarshis']
Pilgrim's Progress,['John Bunyan']
Complete Poems,['Marianne Moore']
Girl Culture,"['Claudia Mitchell', 'Jacqueline Reid-Walsh']"
Dawn on a Distant Shore,['Sara Donati']
When All Hell Breaks Loose,"['Cody Lundin', 'Russell Miller']"
The Art of Planting,['R. William Thomas']
An Introduction to the Methods of Optical Crystallography,"['Fred Donald Bloss', 'F. DONALD AUTOR BLOSS']"
Where the Rivers Ran Backward,['William E. Merritt']
Germs,['Alan L. Gillen']
Half Nelson: A Tom Bethany Mystery,['Jerome Doolittle']
"Nietzsche's Corps/e: Aesthetics, Politics, Prophecy, or, the Spectacular Technoculture of Everyday Life (Post-Contemporary Interventions)",['Geoff Waite']
Wee Sing Silly Songs with Book,"['Pamela Conn Beall', 'Susan Hagen Nipp']"
Volcano in My Tummy: Helping Children to Handle Anger,"['Eliane Whitehouse', 'Warwick Pudney']"
"The Mystery of the Flying Express (Hardy Boys, Book 20)",['Franklin W. Dixon']
Walden,['Henry David Thoreau']
"The Cases That Haunt Us: From Jack The Ripper To Jon Benet Ransey, The","['John Douglas', 'Mark Olshaker']"
"Guarda tus tristezas en una caja grande, sintate encima y re!",['R.J. Palacio']
History of the Byzantine state,['Warren T. Treadgold']
"Blood games: A novel of historical horror, third in the Count de Saint-Germain series",['Chelsea Quinn Yarbro']
Collected Plays,['Harold Pinter']
The Joy of Juicing: Creative Cooking With Your Juicer; Completely Revised and Updated,"['Gary Null', 'Shelly Null']"
Myth & Middle-Earth: Exploring the Medieval Legends Behind J.R.R. Tolkien's Lord of the Rings,['Naomi Wolf']
Six Battles Every Man Must Win: . . . and the Ancient Secrets You'll Need to Succeed,['Bill Perkins']
The Desert Crop,['Catherine Cookson']
The Pie and Pastry Bible,['Rose Levy Beranbaum']
My Sleepy Room,['F. R. Tallis']
Richard Thompson: The Biography,"['Nick Galifianakis', 'Bill Watterson', 'David Apatoff']"
Leadership Through the Ages: a Collection of Favorite Quotations,['Rudolph W. Giuliani']
The Satanic Mill,['Otfried Preussler']
Polymath,['Waqas Ahmed']
Portraits from Memory and Other Essays,['Bertrand Russell']
All That Glitters,['Danielle Steel']
"The Affair , the Case of Alfred Dreyfus",['Jean-Denis Bredin']
Recollections of a Confederate staff officer,['G. Moxley Sorrel']
The Pauline eschatology,['Geerhardus Vos']
Nostromo,['Joseph Conrad']
CRM Automation,['Barton J. Goldenberg']
DAWN SONG,['Margaret Schaus']
Slinky Malinki Catflaps (Gold Star First Readers),['Lynley Dodd']
"Contra Keynes and Cambridge: Essays, Correspondence (The Collected Works of F. A. Hayek, Vol 9)",['Bruce Caldwell']
The Cherry Orchard,['Anton Chekhov']
"Brief Guide to Ideas, A","['William Raeper', 'Linda Edwards']"
Swimming Lessons,['Claire Fuller']
Courage,['Rollo May']
The Bride's Book of Etiquette,"[""Bride's Magazine Editors""]"
You Might Be A Redneck If...,['Jeff Foxworthy']
Portrait of The Artist as a Young Dog,['Dylan Thomas']
Young Joseph (His Joseph and his brothers),['Thomas Mann']
Grammar for Smart People,['Barry Tarshis']
Say It in Yiddish,['Lita Epstein']
THIRD SECRET: A Novel Of Suspense (H),['Library of Congress. Copyright Office']
I Want to Be a Veterinarian,"[""Catherine O'Neill Grace"", 'Stephanie Maze']"
EXPENDABLE.,['Dorothy B. Hughes']
Restless Giant: The United States from Watergate to Bush vs. Gore (Oxford History of the United States),['James T. Patterson']
The Quantum Quark,['Andrew Watson']
WHEN DO FISH SLEEP AND OTHER IMPONDERABLES OF EVERYDAY LIFE,['David Feldman']
A GIFT OF WINGS,['Richard Bach']
Aiding and Abetting: A Novel,['Muriel Spark']
Intercollegiate Athletics and the American University: A University President's Perspective,['James J. Duderstadt']
Riding Logic,['Wilhelm Museler']
The Man Who Planted Trees: A Story Jean Giono,['Jean Giono']
"The Kindling (The Fire-Us Trilogy, Book 1)",['Jennifer Armstrong']
The Spiral Dance 10th Anniversary Edition (A Rebirth of the Ancient Religion of the Great Goddess),['Starhawk']
Stubborn Twig: Three Generations in the Life of a Japanese American Family,['Lauren Kessler']
Gambling theory & other topics,['Mason Malmuth']
"Ancient Egyptian Literature: Volume I: The Old and Middle Kingdoms (Near Eastern Center, UCLA)",['Miriam Lichtheim']
Field Quantization,"['Walter Greiner', 'Joachim Reinhardt']"
The Real Odessa - How Peron Brought the Nazi War Criminals to Argentina,['Uki Goñi']
Hysteria in Remission,"['Robert Williams', 'Gilbert Shelton']"
George Mueller,['George Müller']
The Myth of the State,['Ernst Cassirer']
Manga! Manga!: World of Japanese Comic Books,['Frederik L. Schodt']
Bulbs,['Barbara W. Ellis']
Gone Is Gone Or The Story Of A Man Who Wanted To Do Housework,['Wanda Gág']
Jim the Boy,['Tony Earley']
Silver Seeds: A Book Of Nature Poems (Turtleback School & Library Binding Edition),['Paul Paolilli']
Larry Potter and His Best Friend Lilly,['N. K. Stouffer']
The Last Book of Swords: Shieldbreaker's Story (Swords Series),['Fred Saberhagen']
Introduction to Analysis,['Maxwell Rosenlicht']
The Science of Ecology,"['David R. Keller', 'Frank B. Golley']"
Catholic and Christian: An Explanation of Commonly Misunderstood Catholic Beliefs,['Alan Schreck']
"Ready, Set, Crochet: Learn to Crochet with 19 Hot Projects (Stand-Up Book)",['Susie Johns']
"My memoir,","['André Gregory', 'Todd London']"
"The Fabulous Sylvester: The Legend, the Music, the Seventies in San Francisco",['Joshua Gamson']
The Thread That Runs So True,['Jesse Stuart']
"Dawn's Family Fued (The Baby-Sitters Club, #64)",['Ann M. Martin']
In the Heart of the Sea: The Tragedy of the Whaleship Essex,['Nathaniel Philbrick']
Strength Among Women,['Joan Pagano']
Intruder in the dust: A novel,['William Faulkner']
The Good Priest's Son,['Reynolds Price']
Anna of the Five Towns (Modern Classics),['Arnold Bennett']
Tizzy,['Libba Moore Gray']
Not to Be Taken (Black Dagger Crime Series),['Arnold Bennett']
Casey at the Bat,['Ernest L. Thayer']
Slaves of Obsession,['Anne Perry']
The Elton John Keyboard Book,['Elton John']
Way Out in the Desert,"['T. J. Marsh', 'Jennifer Ward', 'Kenneth Spengler']"
Hustler Adult Magazine:February 1983,['Peter Alilunas']
Betty Crocker 4-Ingredient Dinners,['Betty Crocker']
My Mother's Garden,['Alice Walker']
Taffy of Torpedo Junction,['Nell Wise Wechter']
"If You Were with Me, Everything Would Be All Right",['Ashley Woodfolk']
"Adoptable Dog: Teaching Your Adopted Pet to Obey, Trust, and Love You","['John Ross', 'Barbara McKinney']"
Eyeshot (Wesleyan Poetry Series),['Heather McHugh']
BOYS: CLARRISA EXPLAINS IT ALL (CLARISSA ) (Nickelodeon),['Melissa Joan Hart']
